"Gender","Power","LeagueID","Team"
"F",60,2881,0
"F",59,3138,0
"F",55,2154,0
"M",97,780,0
"M",78,3137,0
"M",73,2106,0
"M",66,3793,0
"M",64,1889,0
"M",64,3803,0
"M",63,2230,0
"M",62,3547,0
"M",59,3438,0
"M",58,2318,0
"M",56,1612,0
"M",47,3481,0
"M",38,3496,0
"M",32,3497,0
"F",84,2055,1
"F",56,3584,1
"F",53,1223,1
"M",80,776,1
"M",80,3656,1
"M",73,20,1
"M",70,3781,1
"M",69,1058,1
"M",67,733,1
"M",63,2619,1
"M",62,253,1
"M",60,3628,1
"M",57,2321,1
"M",53,2810,1
"M",46,2523,1
"M",44,3474,1
"M",38,3462,1
"M",38,3806,1
"F",56,3482,2
"F",44,3808,2
"F",28,3503,2
"M",90,143,2
"M",80,2710,2
"M",78,3098,2
"M",77,3807,2
"M",72,3779,2
"M",71,3461,2
"M",68,1882,2
"M",67,460,2
"M",62,3819,2
"M",53,3778,2
"M",51,3791,2
"M",48,3551,2
"M",48,907,2
"M",39,3788,2
"F",97,1349,3
"F",56,3156,3
"F",42,3351,3
"M",73,2994,3
"M",72,3394,3
"M",69,420,3
"M",69,1830,3
"M",67,2439,3
"M",65,2880,3
"M",65,3805,3
"M",62,186,3
"M",60,2460,3
"M",54,2180,3
"M",51,3417,3
"M",47,3789,3
"M",47,3774,3
"M",35,2237,3
